,planname
831,Volkradstraße
832,Herzbergstraße
833,Herzbergstraße
834,Karlshorst Nord
835,Erieseering
836,Erieseering
837,Herzbergstraße
838,Volkradstraße
839,Hauptstraße
840,Rummelsburg
841,Rummelsburg
842,Rummelsburg
843,Rummelsburg
844,Bornitzstraße
845,Herzbergstraße
846,Karlshorst Nord
847,Karlshorst Süd
848,Nöldnerplatz
849,Volkradstraße
850,Rathaus Lichtenberg
851,Bornitzstraße
852,Herzbergstraße
853,Rummelsburg
854,Herzbergstraße
855,Rosenfelder Ring
856,Herzbergstraße
857,Dolgenseestraße
858,Dolgenseestraße
859,Frankfurter Allee Süd
860,Nibelungenviertel
861,Victoriastadt
862,Frankfurter Allee Süd
863,Rathaus Lichtenberg
864,Nöldnerplatz
865,Frankfurter Allee Süd
866,Frankfurter Allee Süd
867,Rathaus Lichtenberg
868,Fennpfuhlpark
869,Rathaus Lichtenberg
870,Herzbergstraße
871,Herzbergstraße
872,Herzbergstraße
873,Karlshorst Nord
874,Fennpfuhl Ost
875,Massower Straße
876,Karlshorst Nord
877,Karlshorst West
878,Storkower Bogen
879,Karlshorst Nord
880,Weitlingkiez
881,Nöldnerplatz
882,Karlshorst Süd
883,Karlshorst Süd
884,Dolgenseestraße
885,Karlshorst Süd
886,Weitlingkiez
887,Weitlingkiez
888,Wuhlheide
889,Bornitzstraße
890,Oranienplatz
891,Tierpark
892,Jungfernheide/Plötzensee
893,Jungfernheide/Plötzensee
894,Herzbergstraße
895,Friedenstraße
896,Gleisdreieck
897,Karlshorst Nord
898,Karlshorst Nord
899,Lietzensee
900,Wilhelmsaue
901,Großer Tiergarten
902,Lüneburger Straße
903,Alt-Treptow
904,Humboldthain Süd
905,Humboldthain Süd
906,Falkplatz
907,Herzbergstraße
908,Herzbergstraße
909,Herzbergstraße
910,Herzbergstraße
911,Paul-Hertz-Siedlung
912,Alt-Treptow
913,Alt-Treptow
914,Alt-Treptow
915,Alt-Treptow
916,Preußenpark
917,Cheruskerstraße
918,Zwinglistraße
919,Stephankiez
920,Großer Tiergarten
921,Erieseering
922,Volkspark (Rudolph-Wilde-Park)
923,Barnimkiez
924,Alexanderplatzviertel
925,Alexanderplatzviertel
926,Heine-Viertel West
927,Heine-Viertel Ost
928,Großer Tiergarten
929,Großer Tiergarten
930,Großer Tiergarten
931,Großer Tiergarten
932,Großer Tiergarten
933,Viktoriapark
934,Baumschulenweg West
935,Bornitzstraße
936,Weberwiese
937,Wuhlheide
938,Huttenkiez
939,Zwinglistraße
940,Bahnhof Schöneweide
941,Fennpfuhlpark
942,Hansaviertel
943,Viktoriapark
944,Barnimkiez
945,Reichenberger Straße Ost
946,Alt-Biesdorf
947,Wassertorplatz
948,Wriezener Bahnhof
949,Lausitzer Platz
950,Friedenstraße
951,Dolgenseestraße
952,Stralauer Halbinsel
953,Großer Tiergarten
954,Großer Tiergarten
955,Großer Tiergarten
956,Karlshorst Süd
957,Arkonaplatz
958,Elberfelder Straße
959,Humboldthain Süd
960,Charitéviertel
961,Alt-Treptow
962,Tempelhofer Weg
963,Wartheplatz
964,Wassertorplatz
965,Großer Tiergarten
966,Wuhlheide
967,Pettenkofer Straße
968,Herzbergstraße
969,Herzbergstraße
970,Herzbergstraße
971,Großer Tiergarten
972,Humboldthain Nordwest
973,Alt-Marzahn
974,Jungfernheide/Plötzensee
975,Bahnhof Schöneweide
976,Plänterwald West
977,Bärenstein
978,Helmholtz-Kiez
979,Helmholtz-Kiez
980,Heidestraße
981,Heidestraße
982,Alexanderplatzviertel
983,Helmholtz-Kiez
984,Askanischer Platz
985,Afrikanische Straße
986,Elberfelder Straße
987,Wuhlheide
988,Volkradstraße
989,Großer Tiergarten
990,Reichenberger Straße Ost
991,Großer Tiergarten
992,Heidestraße
993,Plänterwald West
994,Karl-Marx-Allee
995,Karlshorst West
996,Rummelsburg
997,Heine-Viertel Ost
998,Heine-Viertel Ost
999,Stralauer Halbinsel
1000,Karlshorst Süd
1001,Großer Tiergarten
1002,Kaiserin-Augusta-Allee
1003,Askanischer Platz
1004,Alt-Marzahn
1005,Lüneburger Straße
1006,Plänterwald Ost
1007,Askanischer Platz
1008,Wuhlheide
1009,Marzahner Chaussee
1010,Huttenkiez
1011,Elberfelder Straße
1012,Heiligensee
1013,Konradshöhe/Tegelort
1014,Frohnau West
1015,Frohnau West
1016,Frohnau West
1017,Frohnau West
1018,Frohnau West
1019,Alt-Tegel
1020,Frohnau West
1021,Frohnau West
1022,Frohnau West
1023,Heiligensee Nord
1024,Tegel Süd
1025,Tegel Süd
1026,Heiligensee
1027,Heiligensee
1028,Alt-Heiligensee
1029,Alt-Heiligensee
1030,Alt-Tegel
1031,Alt-Tegel
1032,Ziekowstraße/Freie Scholle
1033,Alt-Tegel
1034,Alt-Tegel
1035,Alt-Tegel
1036,Alt-Tegel
1037,Alt-Tegel
1038,Waidmannslust
1039,Alt-Heiligensee
1040,TXL
1041,Alt-Heiligensee
1042,Alt-Heiligensee
1043,Alt-Heiligensee
1044,Alt-Heiligensee
1045,Alt-Heiligensee
1046,Alt-Heiligensee
1047,Alt-Heiligensee
1048,Alt-Heiligensee
1049,Alt-Heiligensee
1050,Alt-Heiligensee
1051,Hermsdorf Ost/Waldsee
1052,Alt-Heiligensee
1053,Konradshöhe/Tegelort
1054,TXL
1055,Alt-Heiligensee
1056,TXL
1057,Konradshöhe/Tegelort
1058,Heiligensee
1059,Konradshöhe/Tegelort
1060,Konradshöhe/Tegelort
1061,Heiligensee
1062,Alt-Tegel
1063,Waldidyll/Flughafensee
1064,Tegel Süd
1065,Waldidyll/Flughafensee
1066,TXL
1067,Zitadellenweg
1068,Haveleck
1069,Zitadellenweg
1070,Isenburger Weg
1071,Am Heideberg
1072,Haveleck
1073,Gartenfelder Straße
1074,Rohrdamm
1075,Hakenfelde Nord
1076,Hakenfelde Nord
